"dataelement","period","orgunit","categoryoptioncombo","value","storedby","timestamp","comment","followup"
"cI3OTahNbFi","2011","OEG9W5mSxjs","P3p47Zcxn1C",15853,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","XYKtySBQXaF","P3p47Zcxn1C",5077,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","ENVRCxz1RcZ","P3p47Zcxn1C",3410,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","f9i4WXWZaqE","P3p47Zcxn1C",3646,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","nT5fuBJMolL","P3p47Zcxn1C",2344,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","gLVR8gUVvMs","P3p47Zcxn1C",5255,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Xxkj5jEoFxu","P3p47Zcxn1C",3948,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","efVq8lkl30i","P3p47Zcxn1C",2626,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","GMI484NPj3u","P3p47Zcxn1C",5118,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","wGILjfOthaw","P3p47Zcxn1C",2391,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","yDWV9Snq8kP","P3p47Zcxn1C",7951,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","xAW5estupvC","P3p47Zcxn1C",3418,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","BNGOwpPqH02","P3p47Zcxn1C",3339,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","qpEhgxG5CeI","P3p47Zcxn1C",975,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","xqVVWt7WE3i","P3p47Zcxn1C",6080,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","JBucjsJt55R","P3p47Zcxn1C",3587,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","jDAZoj9RvZy","P3p47Zcxn1C",4561,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","NRT0cw4Jnzf","P3p47Zcxn1C",4564,"admin","2013-01-30T07:27:01+0000","Import from R","false"
